main_tech,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
2.4 Gal,2006.4862292662083,1297.2324425815996,661.658733947157,460.2230053280356,426.00169044679154,274.478532507045,183.7880905434448,157.4310591793543,136.2562141830606,120.22523877293017,135.79043224409125,114.16520574271244
48oz,607.7439344482058,370.84418095968795,244.68032572766776,197.8486922005514,146.30305025983074,110.0345557558687,95.06605706066046,86.67883298957717,79.44401618605347,70.41495032395055,50.78597410093707,40.931958369210015
B&J Cups,3360.6815712573057,1412.444088663837,962.0014837474866,654.4247337372316,415.00863850957444,273.9965715482381,192.1380764019582,165.8717467491633,117.0998706526635,112.87597661781675,117.85892658382798,95.51080618197214
BJ Bars,1836.6481273174188,742.6012364526807,500.99306008946905,309.4856680439373,243.47848561748197,155.8623798028356,98.4795869183892,87.8957591139126,83.95037715057654,62.47637908852974,56.689966647051634,35.456158336820366
BJ PTS,0.0,302.0876194362553,165.89633014909722,128.91854812465624,102.30053868005541,74.1971312263596,68.59964708902675,60.625019974896695,54.47908063038428,48.12152622515806,34.61052150343892,32.10198334621024
BR Minicups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Pts New,,0.0,,,,,,,,,,
Canada,,0.0,,,,,,,,,,
Dough Bites,940.8243791592274,585.1580655205756,353.5162793333351,287.1715071193111,154.15558466015477,133.8499404181199,125.38942412102122,116.63352527240646,90.09676356489433,81.29277393313014,77.47633324610608,70.8016131193791
EDF,1178.1050044538888,658.6310959210189,425.4024344198652,331.74192640405187,241.70069241440106,161.60834349273506,122.83847411454684,100.86046815341211,93.50425161326415,77.88355282541997,70.01028060417377,51.22497704542778
EFW,1763.6889668787016,558.2003712350262,133.8169505809822,30.343917566778657,0.0,68.88621406860078,163.16566843217242,199.5182409811268,191.61274695276072,181.62462628572231,217.38656711590227,197.21794179565072
ESS,1100.7271165114182,457.469108217151,272.9672963914007,243.280990660647,249.04646477493563,219.47819966065742,173.40447238045556,156.5632210563158,149.34606189111398,143.8757766044495,144.67182839973057,132.62704122443682
Facepieces,3692.568937392303,1727.8161855485885,939.204022709715,646.24896537504,354.12017520593673,200.7801144829747,131.07230703726097,115.2807334276279,88.98734556320599,74.80051686197973,68.89967344465236,55.9110319634308
"GH ""Candy""",,0.0,,,,,,,,,,
GH Cones,,0.0,,,,,,,,,,
Giant Vanilla Sandwich,,0.0,,,,,,,,,,
KL Mini Cones,5497.495804729215,2637.3852599748866,1381.3420510652625,1337.5485850636383,1052.915574032722,826.5960384364374,696.900622853805,568.668006023505,462.1723034698508,421.0067878838927,362.9170822890539,316.72422568320377
MBG,1049.8614949270032,545.5845474820438,413.3200755492363,297.44178466273735,215.99326546137098,160.00138881833024,122.89970380776886,106.85917649768527,95.21676800514766,96.30783318915284,68.77876564423603,47.14237832981153
MG Sticks,0.0,836.5390002371014,538.6187426242062,378.86444927862,303.26815877381165,228.06053413433924,210.63193160143095,196.1946466415176,186.86995491739816,156.60314755977248,126.19671893484734,101.532715729963
Other,4168.698481130198,2305.2853238038692,1242.228054212256,788.3108986164063,506.7579909231866,359.9387184702079,162.28707227822102,73.11138747520768,35.606244686098506,19.97027546688102,6.597178030953151,-5.844060023815875
PG,1349.279383635983,700.765436282453,443.15582690434945,301.27576441249215,181.84029827805517,112.30629540834545,91.81465014961297,92.37411213448199,101.72251766237778,121.16754531394619,106.42261954843981,79.43267502338752
PTS,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTS Exports,0.0,0.0,0.0,0.0,0.0,,,,,,,
Quarts,,0.0,,,,,,,,,,
Repack Items,,0.0,,,,,,,,,,
Repack MG Sticks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,
SP1,1406.6171870279215,538.1494342529732,296.87617351597873,208.9074476775265,155.13711006119402,107.96743218946068,87.0250351952698,76.91052665358701,69.81919939063168,67.92466852644313,64.93752346426956,75.19301888716205
Sundaes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TALENTI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Talenti,0.0,440.72999994147233,251.21994016350536,189.36182323892584,132.80069254196852,50.4283150790461,6.293905336492119,-20.664956732457537,-46.165541515906824,-62.977416653550854,-78.56818945826825,-84.97097798529863
Topped,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YS PTS,1023.9726353870033,982.3126357940478,576.886736293179,376.2924145111813,212.6209462378123,111.79405241651422,104.62692264184133,116.23703306934124,140.77562146925538,157.43928150902232,174.66197577973068,170.47326393881548
Yasso Club,0.0,2173.7311621966796,685.7120190214974,419.773560849658,265.04496323550256,175.65124027603036,128.40416259005605,111.14215303413893,-45.18300613938702,-7.5187590223398315,31.31535760198884,68.35504333228646
Yasso Cups,,0.0,,,,,,,,,,
Yasso Poppables,2409.925932784002,1322.0632325462884,667.8986317012566,384.4057907791162,215.71353897258012,162.8374353822695,113.38307090886185,77.59309569050455,62.553441193036726,57.26909867353877,49.29218930605811,22.71707822534237
Yasso Sandwich,2471.2443103107066,1613.5223475860735,1250.1472413591773,838.4433495393909,653.6936999763775,467.5125736317474,344.12891765955703,246.632846224697,179.6074115492376,146.00150379560247,104.40147028774057,67.70355749554348
Yasso Sticks,1191.6207760324976,593.0612409528404,309.09249497879546,205.21629949088964,220.85652752597846,160.994355577928,122.6992260980388,90.62852057741104,69.09006046248739,73.42597385741111,79.02897284004693,78.32326276097615
pG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
