,main_tech,month,projected_matdi,target_matdi,diff,status
0,2.4 Gal,2026-04,460.22,23.68,436.54,On Track
1,48oz,2026-04,197.85,23.68,174.17,On Track
2,B&J Cups,2026-04,654.42,23.68,630.74,On Track
3,BJ Bars,2026-04,309.49,23.68,285.81,On Track
4,BJ PTS,2026-04,128.92,23.68,105.24,On Track
5,BR Minicups,2026-04,0.0,23.68,-23.68,At Risk
6,Dough Bites,2026-04,287.17,23.68,263.49,On Track
7,EDF,2026-04,331.74,23.68,308.06,On Track
8,EFW,2026-04,30.34,23.68,6.66,On Track
9,ESS,2026-04,243.28,23.68,219.6,On Track
10,Facepieces,2026-04,646.25,23.68,622.57,On Track
11,KL Mini Cones,2026-04,1337.55,23.68,1313.87,On Track
12,MBG,2026-04,297.44,23.68,273.76,On Track
13,MG Sticks,2026-04,378.86,23.68,355.18,On Track
14,Other,2026-04,788.31,23.68,764.63,On Track
15,PG,2026-04,301.28,23.68,277.6,On Track
16,PTS Exports,2026-04,0.0,23.68,-23.68,At Risk
17,Repack MG Sticks,2026-04,0.0,23.68,-23.68,At Risk
18,SP1,2026-04,208.91,23.68,185.23,On Track
19,Sundaes,2026-04,0.0,23.68,-23.68,At Risk
20,TALENTI,2026-04,0.0,23.68,-23.68,At Risk
21,Talenti,2026-04,189.36,23.68,165.68,On Track
22,Topped,2026-04,0.0,23.68,-23.68,At Risk
23,YS PTS,2026-04,376.29,23.68,352.61,On Track
24,Yasso Club,2026-04,419.77,23.68,396.09,On Track
25,Yasso Poppables,2026-04,384.41,23.68,360.73,On Track
26,Yasso Sandwich,2026-04,838.44,23.68,814.76,On Track
27,Yasso Sticks,2026-04,205.22,23.68,181.54,On Track
28,pG,2026-04,0.0,23.68,-23.68,At Risk
29,2.4 Gal,2026-08,157.43,17.034,140.4,On Track
30,48oz,2026-08,86.68,17.034,69.64,On Track
31,B&J Cups,2026-08,165.87,17.034,148.84,On Track
32,BJ Bars,2026-08,87.9,17.034,70.86,On Track
33,BJ PTS,2026-08,60.63,17.034,43.59,On Track
34,BR Minicups,2026-08,0.0,17.034,-17.03,At Risk
35,Dough Bites,2026-08,116.63,17.034,99.6,On Track
36,EDF,2026-08,100.86,17.034,83.83,On Track
37,EFW,2026-08,199.52,17.034,182.48,On Track
38,ESS,2026-08,156.56,17.034,139.53,On Track
39,Facepieces,2026-08,115.28,17.034,98.25,On Track
40,KL Mini Cones,2026-08,568.67,17.034,551.63,On Track
41,MBG,2026-08,106.86,17.034,89.83,On Track
42,MG Sticks,2026-08,196.19,17.034,179.16,On Track
43,Other,2026-08,73.11,17.034,56.08,On Track
44,PG,2026-08,92.37,17.034,75.34,On Track
45,PTS,2026-08,0.0,17.034,-17.03,At Risk
46,Repack MG Sticks,2026-08,0.0,17.034,-17.03,At Risk
47,SP1,2026-08,76.91,17.034,59.88,On Track
48,Sundaes,2026-08,0.0,17.034,-17.03,At Risk
49,TALENTI,2026-08,0.0,17.034,-17.03,At Risk
50,Talenti,2026-08,-20.66,17.034,-37.7,At Risk
51,Topped,2026-08,0.0,17.034,-17.03,At Risk
52,YS PTS,2026-08,116.24,17.034,99.2,On Track
53,Yasso Club,2026-08,111.14,17.034,94.11,On Track
54,Yasso Poppables,2026-08,77.59,17.034,60.56,On Track
55,Yasso Sandwich,2026-08,246.63,17.034,229.6,On Track
56,Yasso Sticks,2026-08,90.63,17.034,73.59,On Track
57,pG,2026-08,0.0,17.034,-17.03,At Risk
58,2.4 Gal,2026-12,114.17,18.9,95.27,On Track
59,48oz,2026-12,40.93,18.9,22.03,On Track
60,B&J Cups,2026-12,95.51,18.9,76.61,On Track
61,BJ Bars,2026-12,35.46,18.9,16.56,On Track
62,BJ PTS,2026-12,32.1,18.9,13.2,On Track
63,BR Minicups,2026-12,0.0,18.9,-18.9,At Risk
64,Dough Bites,2026-12,70.8,18.9,51.9,On Track
65,EDF,2026-12,51.22,18.9,32.32,On Track
66,EFW,2026-12,197.22,18.9,178.32,On Track
67,ESS,2026-12,132.63,18.9,113.73,On Track
68,Facepieces,2026-12,55.91,18.9,37.01,On Track
69,KL Mini Cones,2026-12,316.72,18.9,297.82,On Track
70,MBG,2026-12,47.14,18.9,28.24,On Track
71,MG Sticks,2026-12,101.53,18.9,82.63,On Track
72,Other,2026-12,-5.84,18.9,-24.74,At Risk
73,PG,2026-12,79.43,18.9,60.53,On Track
74,PTS,2026-12,0.0,18.9,-18.9,At Risk
75,SP1,2026-12,75.19,18.9,56.29,On Track
76,Sundaes,2026-12,0.0,18.9,-18.9,At Risk
77,TALENTI,2026-12,0.0,18.9,-18.9,At Risk
78,Talenti,2026-12,-84.97,18.9,-103.87,At Risk
79,Topped,2026-12,0.0,18.9,-18.9,At Risk
80,YS PTS,2026-12,170.47,18.9,151.57,On Track
81,Yasso Club,2026-12,68.36,18.9,49.46,On Track
82,Yasso Poppables,2026-12,22.72,18.9,3.82,On Track
83,Yasso Sandwich,2026-12,67.7,18.9,48.8,On Track
84,Yasso Sticks,2026-12,78.32,18.9,59.42,On Track
85,pG,2026-12,0.0,18.9,-18.9,At Risk
