site_name,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
CM Site 1712,511.475495,0.0,1084.445525,895.1822975999999,1443.0277779839998,1213.262931456,761.67698688,1213.89599232,871.86592512,953.7873408,1155.5529984,757.554624
CM Site 1713,0.19998000000000002,0.0,0.0,6.981120000000001,0.0,42.6624,21.3312,17.06496,21.3312,12.79872,8.53248,0.0
CM Site 1715,440.79072,107.381664,482.402736,547.16755968,2761.03296,1150.1280000000002,1023.9264000000001,1023.9264000000001,649.3536,626.976,773.5392,376.5888
CM Site 1716,780.9695999999999,885.4930559999999,871.5468960000001,1271.70971136,2193.678336,736.4352,1107.51744,840.9446399999999,932.61312,580.10112,822.66624,362.05056
CM Site 3910,0.0,0.0,0.0,45.47702016,0.0,111.492288,0.0,52.4734848,52.4734848,59.018803199999994,59.018803199999994,0.0
CM Site 3985,122.436544,117.34545600000001,279.117234,377.10720000000003,359.3088,419.184,246.4128,235.44000000000003,122.60160000000002,0.0,31.104000000000003,0.0
CM Site 6757,191.664,81.24,352.628016,279.08352,412.599552,334.89792,279.08352,348.85440000000006,279.08352,157.1209728,0.0,17.5792128
CM Site 6764,335.45606399999997,0.0,209.82146400000002,244.6848,244.6848,326.2464,163.1232,163.1232,81.5616,81.5616,81.5616,81.5616
CM Site 6765,76.881612,0.0,50.279028000000004,9.12384,6.842879999999999,50.9856768,48.7047168,46.8799488,45.105868799999996,46.5504768,45.5874048,88.2855936
Caspers (CM),341.79274799999996,70.818128,283.11952,0.0,0.0,270.16704000000004,249.99936000000002,62.499840000000006,62.499840000000006,0.0,0.0,124.99968000000001
Covington,0.0,3364.1563880000003,14459.031262,16935.7608852,14292.37151136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gelato d'Italia (Import),1288.232196,68.57759999999999,1120.464,1037.691648,1367.7515136,1411.019136,920.42496,1358.9417088,1031.4796032,1290.9387456,3752.22518784,468.9278784
Gloucester,0.0,0.0,0.0,0.0,0.0,38.016,0.0,0.0,0.0,0.0,0.0,0.0
Incom (CM),338.49899999999997,272.395452,690.8397600000001,1812.3249024000002,713.6299008000001,661.6525824,526.1239296,857.7004032,320.1830784,331.87855104,446.8368384,305.3316096
Rhino/Hollipac (CM),93.07420217600001,8.236908544,46.28258208,92.54714112000002,75.61431552,61.58173440000001,67.7468544,51.600522240000004,24.407040000000002,43.712294400000005,44.105541120000005,31.90202112
Schwan's,148.86166200000002,0.0,0.0,101.5638048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Albans (B&J),0.0,1646.659637307355,5259.349225143245,5005.241732351819,4493.172459142183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St. Albans (B&J) Line 2,0.0,725.411968128,2357.032226752,2627.88939808,3745.8617952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulare,0.0,4149.02073328,16244.471857007999,20112.6861936,17915.4016752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tultitlan (Mexico),7.879648,46.61280000000001,74.23856,80.97024,75.38287679999999,46.1680128,22.847385600000003,54.253056,15.231590400000002,23.3186304,0.0,0.0
Turkey (Import),0.0,0.0,0.0,486.58636800000005,289.3757184,130.95936,241.25921279999997,14.7456,0.0,132.56538624,0.0,0.0
Veszprem (Europe),0.0,0.0,0.0,0.0,290.8224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
